Country,Country (2015.csv),Country (2017.csv),Region,Region (2015.csv),Dystopia Residual,Dystopia Residual (2015.csv),Dystopia.Residual,Economy (GDP per Capita),Economy (GDP per Capita) (2015.csv),Economy..GDP.per.Capita.,Family,Family (2015.csv),Family (2017.csv),Freedom,Freedom (2015.csv),Freedom (2017.csv),Generosity,Generosity (2015.csv),Generosity (2017.csv),Happiness Rank (2015.csv),Happiness Rank(2016.csv),Happiness Score,Happiness Score (2015.csv),Happiness.Rank(2017.csv),Happiness.Score,Health (Life Expectancy),Health (Life Expectancy) (2015.csv),Health..Life.Expectancy.,Lower Confidence Interval,Standard Error,Trust (Government Corruption),Trust (Government Corruption) (2015.csv),Trust..Government.Corruption.,Upper Confidence Interval,Whisker.high,Whisker.low
Zambia,Zambia,Zambia,Sub-Saharan Africa,Sub-Saharan Africa,2.58991,2.6343,1.826705456,0.61202,0.47038,0.636406779,0.6376,0.91612,1.003187299,0.42662,0.48827,0.461603492,0.17866,0.19591,0.249580145,85,106,4.795,5.129,116,4.513999939,0.23573,0.29924,0.257835895,4.645,0.06988,0.11479,0.12468,0.078213550,4.945,4.644105501,4.383894376
Romania,Romania,Romania,Central and Eastern Europe,Central and Eastern Europe,2.45184,1.93129,2.176831484,1.1697,1.04345,1.217683911,0.72803,0.88588,1.150091290,0.36712,0.35068,0.457003742,0.12889,0.13748,0.133519918,86,71,5.528,5.124,57,5.824999809,0.67602,0.7689,0.685158312,5.427,0.06607,0.00679,0.00649,0.004387901,5.629,5.919694157,5.730305462
Serbia,Serbia,Serbia,Central and Eastern Europe,Central and Eastern Europe,2.27539,2.025,1.947084427,1.03437,0.92053,1.069317579,0.81329,1.00964,1.258189797,0.15718,0.20107,0.208715528,0.20737,0.19231,0.220125884,87,86,5.177,5.123,73,5.394999981,0.6458,0.74836,0.650784671,5.083,0.04864,0.04339,0.02617,0.040903781,5.271,5.491569656,5.298430306
Portugal,Portugal,Portugal,Western Europe,Western Europe,1.53015,1.26462,1.107682705,1.27607,1.15991,1.315175295,0.94367,1.13935,1.367043018,0.44727,0.51469,0.498465300,0.11691,0.13719,0.095102713,88,94,5.123,5.102,89,5.195000172,0.79363,0.87519,0.795843542,5.03,0.04802,0.01521,0.01078,0.015869452,5.216,5.285041733,5.104958610
Latvia,Latvia,Latvia,Central and Eastern Europe,Central and Eastern Europe,2.20859,1.62215,1.993655205,1.21788,1.11312,1.260748625,0.95025,1.09562,1.404714942,0.27996,0.29671,0.325707912,0.17445,0.18226,0.153074786,89,68,5.56,5.098,54,5.849999905,0.63952,0.72437,0.638566971,5.486,0.0464,0.0889,0.06332,0.073842727,5.634,5.920263538,5.779736271
Philippines,Philippines,Philippines,Southeastern Asia,Southeastern Asia,2.23484,1.7536,1.972604752,0.81217,0.70532,0.857699215,0.87877,1.03516,1.253917575,0.54854,0.62545,0.585214674,0.21674,0.24991,0.193513423,90,82,5.279,5.073,72,5.429999828,0.47036,0.58114,0.468009055,5.16,0.04934,0.11757,0.12279,0.099331893,5.398,5.545335054,5.314664602
,Somaliland region,,,Sub-Saharan Africa,,2.11032,,,0.18847,,,0.95152,,,0.46582,,,0.50318,,91,,,5.057,,,,0.43873,,,0.06161,,0.39928,,,,
Morocco,Morocco,Morocco,Middle East and Northern Africa,Middle East and Northern Africa,2.94891,2.45373,2.456189394,0.84058,0.73479,0.878114581,0.38595,0.64095,0.774864435,0.25646,0.41691,0.408158332,0.04053,0.07172,0.032209955,92,90,5.151,5.013,84,5.235000134,0.59471,0.60954,0.597710669,5.058,0.0342,0.08404,0.08546,0.087763183,5.244,5.318340965,5.151659302
Macedonia,Macedonia,Macedonia,Central and Eastern Europe,Central and Eastern Europe,2.08947,1.73933,1.617469311,1.0193,0.91851,1.064577937,0.78236,1.00232,1.207893014,0.27668,0.33457,0.325905979,0.23507,0.22359,0.253760964,93,95,5.121,5.007,92,5.175000191,0.64738,0.73545,0.644948184,5.017,0.05376,0.07047,0.05327,0.060277794,5.225,5.272172640,5.077827742
,Mozambique,,,Sub-Saharan Africa,,3.05137,,,0.08308,,,1.02626,,,0.34037,,,0.22269,,94,,,4.971,,,,0.09131,,,0.07896,,0.15603,,,,
Albania,Albania,Albania,Central and Eastern Europe,Central and Eastern Europe,1.92816,1.89894,1.490441561,0.9553,0.87867,0.996192753,0.50163,0.80434,0.803685248,0.31866,0.35733,0.381498635,0.1684,0.14272,0.201312944,95,109,4.655,4.959,109,4.644000053,0.73007,0.81325,0.731159747,4.546,0.05013,0.05301,0.06413,0.039864216,4.764,4.752464006,4.535536100
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Central and Eastern Europe,Central and Eastern Europe,2.48406,2.06367,1.892172575,0.93383,0.83223,0.982409418,0.64367,0.91916,1.069335938,0.09511,0.09245,0.204403177,0.29889,0.24808,0.328867495,96,87,5.163,4.949,90,5.182000160,0.70766,0.79081,0.705186307,5.063,0.06913,0,0.00227,0,5.263,5.276335687,5.087664634
,Lesotho,,,Sub-Saharan Africa,,2.79832,,,0.37545,,,1.04103,,,0.31767,,,0.16388,,97,,,4.898,,,,0.07612,,,0.09438,,0.12504,,,,
Dominican Republic,Dominican Republic,Dominican Republic,Latin America and Caribbean,Latin America and Caribbean,1.69626,1.21305,1.319465160,1.02787,0.89537,1.079373837,0.99496,1.17202,1.402416706,0.52259,0.57672,0.552589834,0.21286,0.21684,0.186967850,98,89,5.155,4.885,86,5.230000019,0.57669,0.66825,0.574873745,5.037,0.07446,0.12372,0.14234,0.113945253,5.273,5.349060885,5.110939153
Laos,Laos,,Southeastern Asia,Southeastern Asia,2.08637,1.73799,,0.68042,0.59066,,0.5497,0.73803,,0.52168,0.59591,,0.43079,0.42192,,99,102,4.876,4.876,,,0.38291,0.54909,,4.742,0.06698,0.22423,0.24249,,5.01,,
Mongolia,Mongolia,Mongolia,Eastern Asia,Eastern Asia,1.53586,1.34759,1.111292362,0.98853,0.82819,1.027235866,1.08983,1.3006,1.493011236,0.35972,0.43626,0.394143969,0.34539,0.3323,0.338464230,100,101,4.907,4.874,100,4.954999924,0.55469,0.60268,0.557783484,4.838,0.03313,0.03285,0.02666,0.032902289,4.976,5.021679509,4.888320338
,Swaziland,,,Sub-Saharan Africa,,2.48676,,,0.71206,,,1.07284,,,0.30658,,,0.18259,,101,,,4.867,,,,0.07566,,,0.08742,,0.0306,,,,
Greece,Greece,Greece,Western Europe,Western Europe,2.12944,1.80101,1.749221563,1.24886,1.15406,1.289487481,0.75473,0.92933,1.239414573,0.05822,0.07699,0.095731251,0,0,0,102,99,5.033,4.857,87,5.227000237,0.80029,0.88213,0.810198903,4.935,0.05062,0.04127,0.01397,0.043289777,5.131,5.325246169,5.128754304
Lebanon,Lebanon,Lebanon,Middle East and Northern Africa,Middle East and Northern Africa,2.07339,1.57059,1.695073843,1.12268,1.02564,1.074987531,0.64184,0.80001,1.129624248,0.26228,0.33916,0.288515985,0.23693,0.21854,0.264450759,103,93,5.129,4.839,88,5.224999905,0.76171,0.83947,0.735081077,5.031,0.04337,0.03061,0.04582,0.037513830,5.227,5.318882288,5.131117521
Hungary,Hungary,Hungary,Central and Eastern Europe,Central and Eastern Europe,1.95473,1.24074,1.716459274,1.24142,1.12094,1.286011934,0.93164,1.20215,1.343133092,0.1977,0.32112,0.175863519,0.099,0.128,0.078401662,104,91,5.145,4.8,75,5.323999882,0.67608,0.75905,0.687763453,5.056,0.06107,0.04472,0.02758,0.036636937,5.234,5.403039709,5.244960054
Honduras,Honduras,Honduras,Latin America and Caribbean,Latin America and Caribbean,2.29551,1.84408,2.065811157,0.69429,0.59532,0.730573118,0.75596,0.95348,1.143944979,0.26755,0.40148,0.348079860,0.2044,0.23027,0.236188874,105,104,4.871,4.788,91,5.181000233,0.58383,0.6951,0.582569480,4.75,0.05648,0.06906,0.06825,0.073345453,4.992,5.301582797,5.060417669
Tajikistan,Tajikistan,Tajikistan,Central and Eastern Europe,Central and Eastern Europe,2.39106,2.11399,1.849049330,0.48835,0.39047,0.524713635,0.75602,0.85563,1.271463275,0.43408,0.47216,0.471566707,0.25998,0.22974,0.248997644,106,100,4.996,4.786,96,5.040999889,0.53119,0.57379,0.529235125,4.923,0.03198,0.13509,0.15072,0.146377146,5.069,5.111425596,4.970574183
Tunisia,Tunisia,Tunisia,Middle East and Northern Africa,Middle East and Northern Africa,2.68413,2.12466,1.890251160,0.97724,0.88113,1.007265806,0.43165,0.60429,0.868351460,0.23553,0.26268,0.289680690,0.03936,0.06431,0.049693357,107,98,5.045,4.739,102,4.804999828,0.59577,0.73793,0.613212049,4.965,0.03589,0.0817,0.06358,0.086723149,5.125,4.884367007,4.725632650
Palestinian Territories,Palestinian Territories,Palestinian Territories,Middle East and Northern Africa,Middle East and Northern Africa,2.40364,2.04384,1.878890276,0.67024,0.59867,0.716249228,0.71629,0.92558,1.155647159,0.17744,0.24499,0.254711062,0.11154,0.11251,0.114173174,108,108,4.754,4.715,103,4.775000095,0.56844,0.66015,0.565666974,4.649,0.04394,0.10613,0.12905,0.089282602,4.859,4.881848343,4.668151848
Bangladesh,Bangladesh,Bangladesh,Southern Asia,Southern Asia,2.60904,2.51767,1.978736162,0.54177,0.39753,0.586682975,0.24749,0.43106,0.735131741,0.39778,0.4082,0.478356659,0.19132,0.21222,0.172255352,109,110,4.643,4.694,110,4.607999802,0.52989,0.60164,0.533241034,4.56,0.03077,0.12583,0.12569,0.123717859,4.726,4.689821658,4.526177945
Iran,Iran,Iran,Middle East and Northern Africa,Middle East and Northern Africa,1.99817,1.6944,1.498734951,1.11758,1.0088,1.156873107,0.38857,0.54447,0.711551249,0.22544,0.30033,0.249322608,0.38538,0.38086,0.387242913,110,105,4.813,4.686,108,4.691999912,0.64232,0.69805,0.639333189,4.703,0.04449,0.0557,0.05863,0.048761073,4.923,4.798224708,4.585775117
Ukraine,Ukraine,Ukraine,Central and Eastern Europe,Central and Eastern Europe,1.50066,1.5714,0.814382315,0.87287,0.79907,0.894651949,1.01413,1.20278,1.394537568,0.12859,0.25123,0.122974776,0.20363,0.15275,0.270061463,111,123,4.324,4.681,132,4.096000195,0.58628,0.6739,0.575903952,4.236,0.04412,0.01829,0.02961,0.023029471,4.412,4.185410105,4.006590285
Iraq,Iraq,Iraq,Middle East and Northern Africa,Middle East and Northern Africa,1.81657,1.95335,1.318907261,1.07474,0.98549,1.102710485,0.59205,0.81889,0.978613198,0.24856,0,0.288555533,0.19589,0.17922,0.199637264,112,112,4.575,4.677,117,4.497000217,0.51076,0.60237,0.501180470,4.446,0.05232,0.13636,0.13788,0.107215755,4.704,4.622591410,4.371409025
South Africa,South Africa,South Africa,Sub-Saharan Africa,Sub-Saharan Africa,1.64227,1.71956,1.510908604,1.02416,0.92049,1.054698706,0.96053,1.18468,1.384788632,0.42483,0.33207,0.479246736,0.13656,0.11973,0.139362380,113,116,4.459,4.642,101,4.828999996,0.18611,0.27688,0.187080070,4.371,0.04585,0.08415,0.08884,0.072509497,4.547,4.929435188,4.728564805
